Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
fastschema,447,2025-06-04,2024-04-02,https://github.com/fastschema/fastschema,39,16,Go,MIT License,All-in-One Backend as a Service with Headless CMS Power,"backend,backend-as-a-service,cms,framework,golang,headless-cms,low-code,no-code,rbac,react"
shesha-framework,430,2025-06-05,2023-02-08,https://github.com/shesha-io/shesha-framework,93,336,TypeScript,Apache License 2.0,An open-source Low-Code development framework for .NET developers. Create .NET based business applications with 80% less code.,"abp,abp-framework,app-factory,business-solutions,crud-application,csharp,enterprise-software,low-code-framework,nextjs,open-source,react,workflow-automation"
bytechef,391,2025-06-05,2021-09-30,https://github.com/bytechefhq/bytechef,65,455,Java,Other,"Open-source, low-code, extendable API integration & workflow automation platform. Integrate your organization or your SaaS product with any third party API","ai,ai-agents,apis,automation,embedded-ipaas,enterprise-automation,integration-framework,integrations,ipaas,java,llm,low-code,n8n,no-code,self-hosted,typescript,workato,workflow,workflow-automation,zapier"
superviz,383,2025-06-01,2024-09-13,https://github.com/SuperViz/superviz,2,5,TypeScript,No license,SuperViz provides powerful SDKs and APIs that enable developers to easily integrate real-time features into web applications. Our platform accelerates development across various industries with robust,"autodesk,autodesk-forge,collaboration,comments,crdt,matterport,multiplayer,presence,react,reactflow,real-time,superviz,three,video-conferencing,webrtc,websockets,yjs,yjs-provider"
stable-codec,368,2025-05-30,2024-11-29,https://github.com/Stability-AI/stable-codec,23,8,Python,MIT License,A family of state-of-the-art Transformer-based audio codecs for low-bitrate high-quality audio coding.,
convertigo,348,2025-06-05,2018-01-25,https://github.com/convertigo/convertigo,73,52,Java,Other,Convertigo is an open source Low Code platform including a No Code  Application builder for full-stack mobile and web application development,"angular,convertigo,ionic-framework,kubernetes,low-code-development-platform,microservices,mobile-development,no-code,opensource"
db2rest,340,2025-05-21,2023-12-14,https://github.com/9tigerio/db2rest,56,27,Java,Apache License 2.0,"Instant no code DATA API platform. Connect any database, run anywhere. Power your GENAI application function/tools calls in seconds.","ai,data-api,generative-ai,java,llm,low-code,lowcode,mariadb,mysql,mysql-database,no-code,nocode,oracle,postgres,postgresql,restapi,spring-boot,springboot"
aeria,334,2025-06-05,2024-03-02,https://github.com/aeria-org/aeria,4,2,TypeScript,MIT License,A language designed for the web that integrates with TypeScript,"aeria,appsec,bun,deno,javascript,low-code,mongodb,node,odm,orm,prisma,rapid-development,strong-typed,typescript,vibe-coding"
flowfuse,327,2025-06-05,2021-06-29,https://github.com/FlowFuse/flowfuse,67,593,JavaScript,Other,"Unlock Industrial Data. Integrate Everything. Optimize Faster. Quickly build workflows, applications and integrations that optimize your operations with our low-code, open-source, end to end platform.","flow-based-programming,low-code,low-code-development,low-code-development-platform,no-code,node-red,visual-programming"
panel-graphic-walker,319,2025-03-21,2024-10-25,https://github.com/panel-extensions/panel-graphic-walker,11,12,Python,MIT License,A project providing a Graphic Walker Pane for use with HoloViz Panel.,"business-intelligence,data,data-analysis,data-app,data-exploration,data-mining,data-visualization,eda,holoviz-panel,low-code,notebook,pivot-table,python,tableau,tableau-alternative,vega,vega-lite,visualization"
Forge,302,2025-05-30,2018-12-19,https://github.com/microsoft/Forge,50,13,C#,MIT License,A Generic Low-Code Framework Built on a Config-Driven Tree Walker,"async,config,config-driven,csharp,decision-tree,dynamic,forge,generic,low-code,microsoft,netstandard20,persisted-state,roslyn,stateful,tree-visualization,treewalker,ui,workflow-engine,workflow-framework"
sdk,300,2025-06-02,2024-02-04,https://github.com/chaibuilder/sdk,42,6,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",Visual builder for React JS frameworks,"ai,low-code,react,tailwindcss,website-builder"
